latitude,longitude,altitude(m),heading(deg),action
32.085345,34.7818,30,0.0,photo
32.085341,34.78182,30,22.5,photo
32.085332,34.781837,30,45.0,photo
32.085317,34.781849,30,67.5,photo
32.0853,34.781853,30,90.0,photo
32.085283,34.781849,30,112.5,photo
32.085268,34.781837,30,135.0,photo
32.085259,34.78182,30,157.5,photo
32.085255,34.7818,30,180.0,photo
32.085259,34.78178,30,202.5,photo
32.085268,34.781763,30,225.0,photo
32.085283,34.781751,30,247.5,photo
32.0853,34.781747,30,270.0,photo
32.085317,34.781751,30,292.5,photo
32.085332,34.781763,30,315.0,photo
32.085341,34.78178,30,337.5,photo
