latitude,longitude,altitude(m),action
32.0853,34.7818,50,photo
32.085345,34.7818,50,photo
32.08539,34.7818,50,photo
32.085435,34.7818,50,photo
32.08548,34.7818,50,photo
32.085525,34.7818,50,photo
32.085569,34.7818,50,photo
32.085614,34.7818,50,photo
32.085659,34.7818,50,photo
32.085704,34.7818,50,photo
32.085749,34.7818,50,photo
32.085794,34.7818,50,photo
32.085839,34.7818,50,photo
32.085884,34.7818,50,photo
32.085929,34.7818,50,photo
32.085974,34.7818,50,photo
32.086019,34.7818,50,photo
32.086064,34.7818,50,photo
32.086108,34.7818,50,photo
32.086153,34.7818,50,photo
32.086198,34.7818,50,photo
32.086243,34.7818,50,photo
32.086288,34.7818,50,photo
32.086333,34.7818,50,photo
32.0853,34.7818,50,photo
32.085255,34.7818,50,photo
32.08521,34.7818,50,photo
32.085165,34.7818,50,photo
32.08512,34.7818,50,photo
32.085075,34.7818,50,photo
32.085031,34.7818,50,photo
32.084986,34.7818,50,photo
32.084941,34.7818,50,photo
32.084896,34.7818,50,photo
32.084851,34.7818,50,photo
32.084806,34.7818,50,photo
32.084761,34.7818,50,photo
32.084716,34.7818,50,photo
32.084671,34.7818,50,photo
32.084626,34.7818,50,photo
32.084581,34.7818,50,photo
32.084536,34.7818,50,photo
32.084492,34.7818,50,photo
32.084447,34.7818,50,photo
32.084402,34.7818,50,photo
32.084357,34.7818,50,photo
32.084312,34.7818,50,photo
32.084267,34.7818,50,photo
32.0853,34.7818,50,photo
32.085345,34.7818,50,photo
32.08539,34.7818,50,photo
32.085435,34.7818,50,photo
32.08548,34.7818,50,photo
32.085525,34.7818,50,photo
32.085569,34.7818,50,photo
32.085614,34.7818,50,photo
32.085659,34.7818,50,photo
32.085704,34.7818,50,photo
32.085749,34.7818,50,photo
32.085794,34.7818,50,photo
32.085839,34.7818,50,photo
32.085884,34.7818,50,photo
32.085929,34.7818,50,photo
32.085974,34.7818,50,photo
32.086019,34.7818,50,photo
32.086064,34.7818,50,photo
32.086108,34.7818,50,photo
32.086153,34.7818,50,photo
32.086198,34.7818,50,photo
32.086243,34.7818,50,photo
32.086288,34.7818,50,photo
32.086333,34.7818,50,photo
32.0853,34.7818,50,photo
32.085255,34.7818,50,photo
32.08521,34.7818,50,photo
32.085165,34.7818,50,photo
32.08512,34.7818,50,photo
32.085075,34.7818,50,photo
32.085031,34.7818,50,photo
32.084986,34.7818,50,photo
32.084941,34.7818,50,photo
32.084896,34.7818,50,photo
32.084851,34.7818,50,photo
32.084806,34.7818,50,photo
32.084761,34.7818,50,photo
32.084716,34.7818,50,photo
32.084671,34.7818,50,photo
32.084626,34.7818,50,photo
32.084581,34.7818,50,photo
32.084536,34.7818,50,photo
32.084492,34.7818,50,photo
32.084447,34.7818,50,photo
32.084402,34.7818,50,photo
32.084357,34.7818,50,photo
32.084312,34.7818,50,photo
32.084267,34.7818,50,photo
32.0853,34.7818,50,photo
32.085345,34.7818,50,photo
32.08539,34.7818,50,photo
32.085435,34.7818,50,photo
32.08548,34.7818,50,photo
32.085525,34.7818,50,photo
32.085569,34.7818,50,photo
32.085614,34.7818,50,photo
32.085659,34.7818,50,photo
32.085704,34.7818,50,photo
32.085749,34.7818,50,photo
32.085794,34.7818,50,photo
32.085839,34.7818,50,photo
32.085884,34.7818,50,photo
32.085929,34.7818,50,photo
32.085974,34.7818,50,photo
32.086019,34.7818,50,photo
32.086064,34.7818,50,photo
32.086108,34.7818,50,photo
32.086153,34.7818,50,photo
32.086198,34.7818,50,photo
32.086243,34.7818,50,photo
32.086288,34.7818,50,photo
32.086333,34.7818,50,photo
