latitude,longitude,altitude(m),action,pattern
32.085345,34.7818,40,search,expanding_square
32.08539,34.7818,40,search,expanding_square
32.085435,34.7818,40,search,expanding_square
32.08548,34.7818,40,search,expanding_square
32.085525,34.7818,40,search,expanding_square
32.085525,34.781853,40,search,expanding_square
32.085525,34.781906,40,search,expanding_square
32.085525,34.781959,40,search,expanding_square
32.085525,34.782012,40,search,expanding_square
32.085525,34.782065,40,search,expanding_square
32.08548,34.782065,40,search,expanding_square
32.085435,34.782065,40,search,expanding_square
32.08539,34.782065,40,search,expanding_square
32.085345,34.782065,40,search,expanding_square
32.0853,34.782065,40,search,expanding_square
32.085255,34.782065,40,search,expanding_square
32.08521,34.782065,40,search,expanding_square
32.085165,34.782065,40,search,expanding_square
32.08512,34.782065,40,search,expanding_square
32.085075,34.782065,40,search,expanding_square
32.085031,34.782065,40,search,expanding_square
32.084986,34.782065,40,search,expanding_square
32.084986,34.782012,40,search,expanding_square
32.084986,34.781959,40,search,expanding_square
32.084986,34.781906,40,search,expanding_square
32.084986,34.781853,40,search,expanding_square
32.084986,34.7818,40,search,expanding_square
32.084986,34.781747,40,search,expanding_square
32.084986,34.781694,40,search,expanding_square
32.084986,34.781641,40,search,expanding_square
32.084986,34.781588,40,search,expanding_square
32.084986,34.781535,40,search,expanding_square
32.084986,34.781482,40,search,expanding_square
32.084986,34.781429,40,search,expanding_square
32.085031,34.781429,40,search,expanding_square
32.085075,34.781429,40,search,expanding_square
32.08512,34.781429,40,search,expanding_square
32.085165,34.781429,40,search,expanding_square
32.08521,34.781429,40,search,expanding_square
32.085255,34.781429,40,search,expanding_square
32.0853,34.781429,40,search,expanding_square
32.085345,34.781429,40,search,expanding_square
32.08539,34.781429,40,search,expanding_square
32.085435,34.781429,40,search,expanding_square
32.08548,34.781429,40,search,expanding_square
32.085525,34.781429,40,search,expanding_square
32.085569,34.781429,40,search,expanding_square
32.085614,34.781429,40,search,expanding_square
32.085659,34.781429,40,search,expanding_square
32.085704,34.781429,40,search,expanding_square
32.085749,34.781429,40,search,expanding_square
32.085794,34.781429,40,search,expanding_square
32.085839,34.781429,40,search,expanding_square
32.085884,34.781429,40,search,expanding_square
32.085884,34.781482,40,search,expanding_square
32.085884,34.781535,40,search,expanding_square
32.085884,34.781588,40,search,expanding_square
32.085884,34.781641,40,search,expanding_square
32.085884,34.781694,40,search,expanding_square
32.085884,34.781747,40,search,expanding_square
32.085884,34.7818,40,search,expanding_square
32.085884,34.781853,40,search,expanding_square
32.085884,34.781906,40,search,expanding_square
32.085884,34.781959,40,search,expanding_square
32.085884,34.782012,40,search,expanding_square
32.085884,34.782065,40,search,expanding_square
32.085884,34.782118,40,search,expanding_square
32.085884,34.782171,40,search,expanding_square
32.085884,34.782224,40,search,expanding_square
32.085884,34.782277,40,search,expanding_square
32.085884,34.78233,40,search,expanding_square
32.085884,34.782383,40,search,expanding_square
32.085884,34.782436,40,search,expanding_square
32.085884,34.782489,40,search,expanding_square
32.085839,34.782489,40,search,expanding_square
32.085794,34.782489,40,search,expanding_square
32.085749,34.782489,40,search,expanding_square
32.085704,34.782489,40,search,expanding_square
32.085659,34.782489,40,search,expanding_square
32.085614,34.782489,40,search,expanding_square
32.085569,34.782489,40,search,expanding_square
32.085525,34.782489,40,search,expanding_square
32.08548,34.782489,40,search,expanding_square
32.085435,34.782489,40,search,expanding_square
32.08539,34.782489,40,search,expanding_square
32.085345,34.782489,40,search,expanding_square
32.0853,34.782489,40,search,expanding_square
32.085255,34.782489,40,search,expanding_square
32.08521,34.782489,40,search,expanding_square
32.085165,34.782489,40,search,expanding_square
32.08512,34.782489,40,search,expanding_square
32.085075,34.782489,40,search,expanding_square
32.085031,34.782489,40,search,expanding_square
32.084986,34.782489,40,search,expanding_square
32.084941,34.782489,40,search,expanding_square
32.084896,34.782489,40,search,expanding_square
32.084851,34.782489,40,search,expanding_square
32.084806,34.782489,40,search,expanding_square
32.084761,34.782489,40,search,expanding_square
32.084716,34.782489,40,search,expanding_square
32.084671,34.782489,40,search,expanding_square
32.084671,34.782436,40,search,expanding_square
32.084671,34.782383,40,search,expanding_square
32.084671,34.78233,40,search,expanding_square
32.084671,34.782277,40,search,expanding_square
32.084671,34.782224,40,search,expanding_square
32.084671,34.782171,40,search,expanding_square
32.084671,34.782118,40,search,expanding_square
32.084671,34.782065,40,search,expanding_square
32.084671,34.782012,40,search,expanding_square
32.084671,34.781959,40,search,expanding_square
32.084671,34.781906,40,search,expanding_square
32.084671,34.781853,40,search,expanding_square
32.084671,34.7818,40,search,expanding_square
32.084671,34.781747,40,search,expanding_square
32.084671,34.781694,40,search,expanding_square
32.084671,34.781641,40,search,expanding_square
32.084671,34.781588,40,search,expanding_square
32.084671,34.781535,40,search,expanding_square
32.084671,34.781482,40,search,expanding_square
32.084671,34.781429,40,search,expanding_square
32.084671,34.781376,40,search,expanding_square
32.084671,34.781323,40,search,expanding_square
32.084671,34.78127,40,search,expanding_square
32.084671,34.781217,40,search,expanding_square
32.084671,34.781164,40,search,expanding_square
32.084671,34.781111,40,search,expanding_square
32.084671,34.781058,40,search,expanding_square
